sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
71,2016-03-02 20:19:54.456529,1456946394.456529,DECA020000000003,1.081523,13669,14459,12673,1046,6238,44,234,0,2824
72,2016-03-02 20:19:54.472129,1456946394.472129,DECA020000000002,1.110219,14260,15255,14898,1459,7238,56,236,0,2826
72,2016-03-02 20:19:54.487729,1456946394.487729,DECA020000000003,1.073315,13385,15866,14396,1333,6879,52,237,0,2828
73,2016-03-02 20:19:54.503329,1456946394.503329,DECA020000000002,1.131325,14855,15251,14444,1588,7709,64,239,0,2830
73,2016-03-02 20:19:54.518929,1456946394.518929,DECA020000000003,1.080351,13334,15751,13774,1278,6649,48,232,0,2832
74,2016-03-02 20:19:54.550129,1456946394.550129,DECA020000000002,1.155950,15739,15337,10292,1550,7721,60,238,0,2834
74,2016-03-02 20:19:54.565729,1456946394.565729,DECA020000000003,1.074488,13992,15448,13603,1334,6709,52,238,0,2836
75,2016-03-02 20:19:54.581329,1456946394.581329,DECA020000000002,1.139533,15384,15589,13663,1653,7805,64,239,0,2838
75,2016-03-02 20:19:54.596929,1456946394.596929,DECA020000000003,1.090904,15026,15817,12417,1330,6709,52,236,0,2840
76,2016-03-02 20:19:54.612529,1456946394.612529,DECA020000000002,1.114356,15045,16106,12965,1819,7965,68,239,0,2842
76,2016-03-02 20:19:54.628129,1456946394.628129,DECA020000000003,1.096767,13557,15573,13663,1228,6762,48,238,0,2844
77,2016-03-02 20:19:54.643729,1456946394.643729,DECA020000000002,1.136016,15133,15560,12527,1744,7606,68,233,0,2846
77,2016-03-02 20:19:54.659329,1456946394.659329,DECA020000000003,1.094422,14160,15579,12457,1332,6261,52,237,0,2848
78,2016-03-02 20:19:54.674929,1456946394.674929,DECA020000000002,1.126635,13765,15985,15048,1744,7575,68,239,0,2850
78,2016-03-02 20:19:54.690529,1456946394.690529,DECA020000000003,1.076833,13663,15349,13458,1240,6599,48,234,0,2852
79,2016-03-02 20:19:54.706129,1456946394.706129,DECA020000000002,1.160640,14209,15142,14808,1391,7939,56,238,0,2854
79,2016-03-02 20:19:54.721729,1456946394.721729,DECA020000000003,1.086214,14616,15034,12262,1184,6460,48,236,0,2856
80,2016-03-02 20:19:54.737329,1456946394.737329,DECA020000000002,1.125462,15217,15228,11063,1751,7405,68,237,0,2858
80,2016-03-02 20:19:54.752929,1456946394.752929,DECA020000000003,1.069797,14477,15415,12156,1135,6193,44,234,0,2860
81,2016-03-02 20:19:54.784129,1456946394.784129,DECA020000000002,1.151259,14090,15457,14602,1450,7845,56,234,0,2862
81,2016-03-02 20:19:54.784129,1456946394.784129,DECA020000000003,1.107320,13389,15739,13336,1176,6548,44,232,0,2864
82,2016-03-02 20:19:54.815329,1456946394.815329,DECA020000000002,1.113183,13013,14784,15002,1634,7348,64,233,0,2866
82,2016-03-02 20:19:54.815329,1456946394.815329,DECA020000000003,1.104975,13338,14872,13529,1199,6483,48,237,0,2868
83,2016-03-02 20:19:54.846529,1456946394.846529,DECA020000000002,1.159467,12686,15559,15012,1537,7684,60,233,0,2870
83,2016-03-02 20:19:54.862129,1456946394.862129,DECA020000000003,1.072142,12973,15425,13431,1229,6180,48,234,0,2872
84,2016-03-02 20:19:54.877729,1456946394.877729,DECA020000000002,1.139533,14857,16064,14296,1649,7569,64,240,0,2874
84,2016-03-02 20:19:54.893329,1456946394.893329,DECA020000000003,1.087386,12986,14564,13318,1096,6230,44,231,0,2876
85,2016-03-02 20:19:54.908929,1456946394.908929,DECA020000000002,1.128980,13628,15867,15545,1639,8267,64,237,0,2878
85,2016-03-02 20:19:54.924529,1456946394.924529,DECA020000000003,1.087386,13323,14929,12765,1328,6042,52,232,0,2880
86,2016-03-02 20:19:54.940129,1456946394.940129,DECA020000000002,1.117873,15539,15410,9728,1442,7554,56,233,0,2882
86,2016-03-02 20:19:54.955729,1456946394.955729,DECA020000000003,1.073315,13528,15221,13277,1037,6491,40,232,0,2884
87,2016-03-02 20:19:54.971330,1456946394.97133,DECA020000000002,1.146569,14353,15333,14560,1745,7498,68,232,0,2886
87,2016-03-02 20:19:54.986930,1456946394.98693,DECA020000000003,1.088559,14148,16076,14061,1178,7067,44,239,0,2888
88,2016-03-02 20:19:55.002530,1456946395.00253,DECA020000000002,1.110219,13765,15296,14348,1249,7564,48,233,0,2890
88,2016-03-02 20:19:55.018130,1456946395.01813,DECA020000000003,1.093249,12865,15706,14517,1531,6726,60,235,0,2892
89,2016-03-02 20:19:55.049330,1456946395.04933,DECA020000000002,1.119046,14775,14694,14203,1307,7316,52,233,0,2894
89,2016-03-02 20:19:55.049330,1456946395.04933,DECA020000000003,1.065107,15688,15599,9107,1141,6658,44,237,0,2896
90,2016-03-02 20:19:55.080530,1456946395.08053,DECA020000000002,1.161813,15906,15274,12079,1753,7858,68,242,0,2898
90,2016-03-02 20:19:55.096130,1456946395.09613,DECA020000000003,1.068625,14926,15449,11241,1136,6503,44,235,0,2900
91,2016-03-02 20:19:55.111730,1456946395.11173,DECA020000000002,1.110219,14681,15129,13659,1584,7377,64,237,0,2902
91,2016-03-02 20:19:55.127330,1456946395.12733,DECA020000000003,1.081523,14127,16077,14107,1186,7095,44,239,0,2904
92,2016-03-02 20:19:55.142930,1456946395.14293,DECA020000000002,1.116082,15561,15026,8048,1542,7661,60,233,0,2906
92,2016-03-02 20:19:55.158530,1456946395.15853,DECA020000000003,1.103802,13658,15520,13194,1134,6297,44,234,0,2908
93,2016-03-02 20:19:55.174130,1456946395.17413,DECA020000000002,1.127807,14823,15605,13551,1646,7628,64,234,0,2910
