sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
88,2016-03-09 09:21:41.549110,1457511701.54911,DECA020000000003,23.131404,2528,5513,5182,537,545,36,235,1,2655
89,2016-03-09 09:21:41.569110,1457511701.56911,DECA020000000002,25.304211,1514,3510,3342,478,217,32,187,1,2657
89,2016-03-09 09:21:41.579110,1457511701.57911,DECA020000000003,23.119678,4638,5919,3765,480,580,32,232,1,2659
90,2016-03-09 09:21:41.609110,1457511701.60911,DECA020000000002,25.317110,1955,4273,4384,484,370,32,237,1,2661
90,2016-03-09 09:21:41.619110,1457511701.61911,DECA020000000003,23.083327,4990,6132,3791,589,628,40,231,1,2663
91,2016-03-09 09:21:41.639110,1457511701.63911,DECA020000000002,25.296003,2627,5082,4344,587,437,40,231,1,2665
91,2016-03-09 09:21:41.659110,1457511701.65911,DECA020000000003,23.106779,3602,5459,4542,481,530,32,235,1,2667
92,2016-03-09 09:21:41.669110,1457511701.66911,DECA020000000002,25.305384,3635,5079,3260,483,408,32,235,1,2669
92,2016-03-09 09:21:41.689110,1457511701.68911,DECA020000000003,23.123195,1905,5521,5814,593,599,40,235,1,2671
93,2016-03-09 09:21:41.709110,1457511701.70911,DECA020000000002,25.296003,2160,4499,4218,481,374,32,233,1,2673
93,2016-03-09 09:21:41.719110,1457511701.71911,DECA020000000003,23.107952,2836,5014,4309,537,429,36,230,1,2675
94,2016-03-09 09:21:41.739110,1457511701.73911,DECA020000000002,25.314765,1535,4267,4888,480,418,32,233,1,2677
94,2016-03-09 09:21:41.759110,1457511701.75911,DECA020000000003,23.086845,1972,5023,5247,429,504,28,231,1,2679
95,2016-03-09 09:21:41.769110,1457511701.76911,DECA020000000002,25.280760,2522,4870,4041,536,389,36,232,1,2681
95,2016-03-09 09:21:41.789110,1457511701.78911,DECA020000000003,23.120850,2476,5515,5495,483,586,32,235,1,2683
96,2016-03-09 09:21:41.809110,1457511701.80911,DECA020000000002,25.264343,2504,4708,3882,483,375,32,235,1,2685
96,2016-03-09 09:21:41.819110,1457511701.81911,DECA020000000003,23.082155,3589,5823,4778,480,578,32,227,1,2687
97,2016-03-09 09:21:41.839110,1457511701.83911,DECA020000000002,25.243237,3346,5268,3742,487,430,32,236,1,2689
97,2016-03-09 09:21:41.849110,1457511701.84911,DECA020000000003,23.076292,5030,5880,3408,592,586,40,233,1,2691
98,2016-03-09 09:21:41.879110,1457511701.87911,DECA020000000002,25.310074,1581,4385,5107,538,448,36,239,1,2693
98,2016-03-09 09:21:41.879110,1457511701.87911,DECA020000000003,23.056358,3175,5878,4934,538,564,36,230,1,2695
99,2016-03-09 09:21:41.909110,1457511701.90911,DECA020000000002,25.250272,3050,4469,3427,531,344,36,232,1,2697
99,2016-03-09 09:21:41.919110,1457511701.91911,DECA020000000003,23.113815,2630,5387,5355,592,576,40,231,1,2699
100,2016-03-09 09:21:41.939110,1457511701.93911,DECA020000000002,25.259653,1857,4483,4584,485,403,32,233,1,2701
100,2016-03-09 09:21:41.949110,1457511701.94911,DECA020000000003,23.084500,1455,5045,5711,481,556,32,229,1,2703
101,2016-03-09 09:21:41.979110,1457511701.97911,DECA020000000002,25.218612,3610,4255,2664,481,325,32,233,1,2705
